SN,Degree,Course,Year,Letter Grade,Score,Gender
1,B.Des,CAC,2,A,8,Female
2,B.Des,CAC,2,O,9.6,Female
3,B.Des,IADP,2,A+,9.2,Female
4,B.Des,CE,2,O,9.8,Female
5,B.Des,BSSD,2,P,3,Male
6,B.Des,CAC,2,O,9.5,Female
7,B.Des,PSD,2,A+,9,Female
8,B.Des,PSD,2,A+,9,Female
9,B.Des,PSD,2,A+,9,Female
10,B.Des,BSSD,3,A+,9,Female
11,B.Des,VCSB,2,A,8,Female
12,B.Des,VCSB,2,A,8,Female
13,B.Des,IAIDP,3,A,8,Male
14,B.Des,IAIDP,3,B+,7,Male
15,B.Des,VCSB,2,B+,7,Female
16,B.Des,HCD,3,A+,9,Male
17,B.Des,CAC,3,A+,9.1,Female
18,B.Des,VCSB,2,A,8,Male
19,B.Des,CE,2,A+,9,Female
20,B.Des,CAC,2,A+,9,Male
21,B.Des,IADP,2,A,8,Female
22,B.Des,IADP,3,B+,7,Male
23,B.Des,VCSB,3,A+,9,Female
24,B.Des,CE,2,O,10,Female
25,B.Des,CAC,3,A+,9,Female
26,B.Des,CAC,3,A+,9,Female
27,B.Des,PSD,3,B+,7,Female
28,B.Des,PSD,3,A,8,Female
29,B.Des,CAC,2,A+,9,Female
30,B.Des,HCD,2,A,8,Female
31,B.Voc,UIID,3,O,9.5,Female
32,B.Voc,UIID,3,A+,9,Female
33,B.Voc,UIID,3,A+,9,Male
34,B.Voc,UIID,3,B+,7,Male
35,B.Voc,UIID,3,A,8,Female
36,B.Voc,UIID,3,A,8,Female
37,B.Voc,ID,3,B+,7,Male
38,B.Voc,DMP,3,O,9.5,Male
39,B.Voc,DMP,3,B,6.5,Male
40,B.Voc,DMP,3,O,9.5,Male
41,B.Voc,DMP,3,O,9.5,Male
42,B.Voc,DMP,3,A+,9,Male
43,B.Voc,DMP,3,O,9.5,Female
44,B.Voc,DMP,3,O,9.5,Female
45,B.Voc,DMP,3,B,6.5,Female
46,B.Voc,DMP,3,C,5,Male
47,B.Voc,UIID,1,A+,9,Male
48,B.Voc,UIID,1,B,7,Female
49,B.Voc,UIID,1,B,7,Female
50,B.Voc,UIID,1,A,8,Female
51,B.Voc,UIID,1,A,8,Female
52,B.Voc,UIID,1,A+,9,Female
53,B.Voc,UIID,2,A,8,Male
54,B.Voc,GADP,1,A,8,Female
55,B.Voc,GADP,2,A,8,Male
56,B.Voc,Film,3,A,8,Male
57,B.Voc,GADP,3,A+,9,Female
58,B.Voc,GADP,3,A+,9,Female
59,B.Voc,DMP,2,A,8,Male
60,B.Voc,DMP,2,A,8,Male
61,B.FA,CAP,3,A,8,Female
62,B.FA,CAP,3,A+,9,Male
63,B.FA,CAP,3,A+,9,Female
64,B.FA,DMA,2,A+,8.5,Male
65,B.FA,DMA,2,A,8,Male
66,B.FA,DMA,2,A,8,Female
67,B.FA,CAP,2,A,8,Female
68,B.FA,CAP,2,A+,8,Female
69,B.FA,Film,3,B,6,Male
70,B.FA,DMA,2,A,8,Female
71,B.FA,DMA,2,B+,7,Female
72,B.FA,DMA,2,B+,7,Female
73,B.FA,DMA,2,A,8,Female
74,B.FA,DMA,2,B+,7,Female
75,B.FA,DMA,2,B,6,Male
76,B.FA,Film,3,A,8,Male
77,B.FA,Film,3,A,8,Male
78,B.FA,DMA,2,A,8,Male
79,B.FA,DMA,2,A,8,Male
80,B.FA,DMA,2,B+,7,Female
81,B.FA,DMA,2,B+,7,Female
82,B.FA,Film,2,A,8,Female
83,B.FA,Film,3,B+,7,Female
84,B.FA,DMA,2,A+,9,Female
85,B.FA,DMA,2,A,8,Male
86,B.FA,DMA,2,B+,7,Female
87,B.FA,DMA,2,B+,7,Female
88,B.FA,DMA,2,B+,7,Male
89,B.FA,DMA,2,B+,7,Female
90,B.FA,DMA,2,B+,7,Female
